video_id,video_comment,video_comment_final
EsuN33cmDjg,533,0
EuCzRi4HUBU,88,0
EuWqzDD2WNE,265,1
Ezzfc83C6YE,865,0
F-sXsYNQYbs,6061,2
F0ElmqLrePM,2596,0
F1gGsoSj5sI,6321,2
F2JDglXgtK8,1206,0
F5HhTD3b46A,2485,0
F7N5nzowhGU,6429,0
FA12a4UKbx4,515,0
FCx4RQ1gthY,167,0
FHj1eu2gkUg,51,0
FIXQiHtDfGg,161,0
FLRI8G39sLU,299,5
FNmtbOo_PQQ,57,0
FO1nyGz4r_4,305,0
FQN9Ibjh8LA,1916,144
FTvPxO1Hfuo,1131,1
FUu9NHlKaxY,608,30
FVovgX73zCY,70,0
FZnACwukAeI,582,44
F_31H_o8nss,491,0
F_La9J5Lv2U,2355,0
FbRRdCU-Lw4,405,0
FbqMH05ZiRM,317,0
FcMF02oc-Cw,1473,2
FcdFASrJxug,5,0
FiDU3CUyqT4,2022,0
FkwMiqm6um0,46,0
Fld_whm4TZs,5760,0
FmMmHqDdzdw,1281,69
FoIlgpP0sSE,612,0
FoVud3zWeDk,616,0
FpYPmkfynIo,1028,0
FrcXox0sj2A,726,82
Fsa3FNYhHMU,11,0
Fti19Zk7xho,4,0
FyXXY8byfec,3326,7
G-S-mjXKkCc,39,0
G01D3sv8qXU,997,0
G48bCFHbc58,10800,1
G4mwgg3veu8,1645,0
G5kHmGCftjo,37,0
G9l5AO1D4To,12899,0
GCTSrtF_3g0,79,0
GCi27WGhdgM,79,1
GDw9_kIEDaY,1798,24
GGNHP1-yv4Q,534,20
GII0hr8fyZY,246,6
GIX_NtjdYaM,3,0
GIo5NUQrp4o,14138,609
GL5XWUpYnEs,123,0
GOZIUHi_YNQ,15057,786
GPB1-DT3b0Q,364,24
GPSvy64fdzU,458,0
GSjxR-PP594,237,0
GTxkmTipXLc,117,0
GUhLwYbN1ZA,733,3
GWgiA1PFnDM,83,4
GZaaUiqSkwI,2065,0
G_li-ZsZ-Dk,395,24
GdW2bKNNl1c,105,2
GfBzPjQu-MI,105,0
GfmrRqkLvEA,396,0
GhPpVxfh65o,1479,0
GhkNVuet9UE,100,0
Ghq2m-C_bqM,145,0
GkB3IxcZFKA,2705,1
GkbZSb7HLGo,710,1
GoJziuipjAU,62,0
GqmQ7_ynreI,229,0
Gsp7pFZcTxw,33,0
GvfuQdlEDHs,251,0
GxcF0hv4nCI,2245,16
H7oUO-My1vg,11957,27
H7y3wjhoAlM,101,0
H9a3ix08uYA,582,6
HASdrvZYSwI,606,0
HD8OJ_uUPrA,513,0
HEpzPHkq1o0,62,0
HGLLkwiblag,1755,4
HGghB1kvRUk,1683,0
HHAFZH7Bn-U,120,0
HRZ3ntVGMsY,506,1
HRhBqZLaF0s,53,0
HThlG14AKns,492,0
HU-IFmXqoUo,1240,0
HU4O9HOfZYc,2637,110
HVjt-L0CbOU,208,0
HXNbegvRNvg,12078,354
HarTn81wQNg,435,0
Hj_paijhdUQ,100,0
HjjN6_ZEm6I,657,0
HnZn8muOnZw,2953,3
HoujXZPtMx0,4,0
HqeRgPQkkZQ,184,1
HrBxgqNfxnI,2416,0
HsIqUcZkc4k,931,0
Ht9yXuDvA1M,474,0
Htp9Elx6mBo,251,15
Htv3-nfz78U,1112,1
Hxvn7HmUJm0,173,0
Hy08nQ7tGqQ,11,0
HyQni0QOISM,124,0
I1QgOOM_vs0,2331,0
I4r0r9_twIo,1532,73
I5OiZDMQpDg,540,0
I6S6KLwlED8,44,0
I6mcMPoOvo8,560,0
I8_W9Lz0VcM,359,2
I9GJve3M164,3026,0
IFQ6vxYNAKQ,5,0
ILguTznukyE,847,0
INnwBYIfODE,1160,1
IO5VdhlNfrI,653,0
IPoX9QcIBcI,11247,320
IR7BIGeqHaI,3350,28
ISvn0UD987M,1121,0
IVHJxNAPc3Y,2116,0
IY7V8fEYFP0,3560,7
IYJhF9coLX4,79,0
I_GZQtVwR1A,343,0
IdRhqSiHNDg,10,0
IerkherNYyI,7723,256
IewhVY9cAmQ,3,0
If77QwcUkNE,15,0
IgVPx5__VtU,14,0
IgZQKPyfADk,3514,2
IifhZbUqyPM,138,1
IpT7J2DdTK0,238,1
IqgGNvstkEo,1079,0
IzN5bjH4uIc,4056,86
IzoegpP0PSw,1046,0
J0uygT_rd2I,81,0
J1t25cgk3No,477,11
J3VcZ3nsQDw,27,0
J4aRcs66Nlo,10801,1147
J4wNwyzbbW8,67,0
J5Efezauri4,329,0
J5I00p3KqvE,5468,232
J6hBgqRbTc4,60,0
J7baXzIVmyc,318,0
J7j2e3syH8k,528,0
J7xvMuW1Yuw,589,0
J98fNAePpvk,227,0
J9ANw0WXiDE,923,2
JC3I_tyMLf8,126,0
JEn4EFNKi4o,1280,2
JFV5Eqs6fjc,23,0
JGbc9TYf2uo,1,0
JHPA3MVxABQ,643,0
JQwS_6i_xck,94,0
JRHgjyk5DO8,52,0
JRKGOZPLmZQ,202,2
JUFWMlX92uc,809,0
JUNsMqN6bb0,1334,16
JUO0WbUuXHY,198,0
JUd6IFnEoFg,23,0
JV8-B23ZkIc,51,1
JXWpqEz8UYM,62,0
JZbu3AZ5anY,11064,79
JaLIbBtkjJE,1873,0
JbBVkU5wuGU,938,0
JbePIzLoilo,1850,0
JcQNKYFoYpc,6466,1
JeAqM1ymJTk,121,0
JgEH0tAc5bA,317,5
JiZUGoG4z6s,1887,2
JksGxAdTA8E,83,0
JllWjYkUhZA,105,0
Jm8HPBqQYsE,1519,202
JmNUM7rtoe8,1648,5
JoeGleUS4yw,4744,6
Jrd_XlvLBgg,171,0
JvKn07DCktY,23097,35
JxmjZ-BgGWg,4354,0
JzFtgxiL9Kw,177,1
JzeMCJ2bCO4,935,0
K45Z9klesUY,2,0
KC9TmTus1Cc,1629,1
KDluQ0YVcFw,536,2
KEd8eFHiIa8,5,0
KGE_hSZTm6k,549,0
KI35yj2nErY,1042,0
KJ0RdfuAvOc,103,0
KJ6c5yfyVGU,15,0
KJR9MfRFFjw,273,2
KK9aHCQXSXg,571,0
KKxkQzf9kjg,7,0
KLA0huuV7ho,4431,12
KM5k7GVr2xI,41,0
KO7gPHuXjsk,852,0
KPQkb2AuXSw,20223,0
KY2fn0f0bvI,69,0
KYBPVgADsSM,997,0
Kasq7a6oIXw,4,0
KfOAmFQOMsM,946,43
KglwdFJ-PiA,535,0
Kh7FfWTUmP0,305,0
KhixJPwjoHM,182,0
KiIc54yyktw,4081,108
KjylNGo1its,322,1
Klim5qgKmac,12033,2
Kmlq6tco974,1416,0
KmvunH382Ro,17,1
Knljg5f_nGo,261,2
KqqnqqtSHyU,524,0
KtRyftCARrY,909,19
KvJ6FVr7E7s,1356,1
L-d1taEcDYc,187,0
L44aiNl82xY,1992,166
L46ezMsD3dk,193,0
L4s5-pXI6D4,374,0
L4vPKjRDoWk,452,4
L5-z_wGFthc,444,9
L5ihmu87xTE,10950,231
LCp6b12bRW0,31,1
LDGy1whwor8,32,0
LFlyELZqdGI,100,4
LGdM9mv65fU,46,0
LIIyCYY2GKQ,949,52
LIV9HM5Yj80,410,26
LIkcJGvqOKA,4322,1
LJ1RLRArX_g,634,0
LJFUSgxAi9I,630,7
LLcalJBY6PE,578,0
LPAPMznGwps,1503,70
LPIV7QtBTHE,2077,2
LPYkbEfxq-8,85,0
LSUuQfQDXwM,447,39
LTjmeJmRZsI,516,38
LUeLQVee7TU,24,0
LW7Br5RC9Cw,215,0
LX4UWfxD9cA,353,0
