video_id,video_comment,video_comment_transformer
DZ4kLiOpF-U,711,0
DaYyn14MNJ0,474,0
DcbCGk_t8CY,54,0
Dcg_UuIdLHo,2,0
Dd9QTquqjM8,82,0
DeTTb0JuVxg,1118,0
Dk0-yqfl3rU,500,16
DrEsdlfi0mw,617,0
DtGnZyekixQ,735,0
DvqFdZSDsiA,1974,0
DxnRvrvSsHI,900,0
DyrKEdOT8Sk,2227,0
Dz4VkHA3AJ8,705,9
E-NVpJTTfP8,10411,1
E342vubUs5g,294,0
E4NCbzR-aBU,55,0
E5dfjAlxaxY,605,0
E6WDlZV7vFA,1753,0
E7FpYuKjYIQ,142,0
E86OMSHHu8c,7122,0
EA_rUK7utAc,8484,0
EBtjotQbwjg,469,0
ED544Luc71o,520,0
EFPyw6d3ygA,367,0
EG4xBFsoiMY,148,0
EGOtvKoqG4I,450,0
EIctJfDxHus,1467,85
EKOHq_nTcLE,436,0
EOJYrEiGWVk,22,0
EOV69Gwbbos,84,0
EPpQtg9kyHc,724,0
ERk0dnWxB14,118,0
ESvTX489JuY,1640,0
ETSTNH90t0c,70,0
EVu4_yFw6yo,225,0
EXOCgSJYyyQ,131,0
EXcprHxo53g,6165,1
Eb692wwOhI4,698,0
Eg9_Q1FHFuc,129,0
EkV3uq2kGL4,218,2
Ep-rXmZNcEE,12,0
Esf6NVGUaIE,47,0
EsuN33cmDjg,533,0
EuCzRi4HUBU,88,1
EuWqzDD2WNE,265,0
Ezzfc83C6YE,865,0
F-sXsYNQYbs,6061,0
F1gGsoSj5sI,6321,0
F2JDglXgtK8,1206,0
F5HhTD3b46A,2485,1
F7N5nzowhGU,6429,0
FA12a4UKbx4,515,0
FCx4RQ1gthY,167,0
FIXQiHtDfGg,161,0
FO1nyGz4r_4,305,0
FQN9Ibjh8LA,1916,0
FTvPxO1Hfuo,1131,1
FUu9NHlKaxY,608,37
FVovgX73zCY,70,0
FZnACwukAeI,582,0
F_31H_o8nss,491,0
FbRRdCU-Lw4,405,0
